Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"SL","Livestock Primary","115","Cambodia","5510","Production","21121","Meat, chicken","2018","2018","tonnes","17279","Im","FAO data based on imputation methodology"
"SL","Livestock Primary","115","Cambodia","5610","Import Quantity","21121","Meat, chicken","2018","2018","tonnes","11879","*","Unofficial figure"
"SL","Livestock Primary","115","Cambodia","5910","Export Quantity","21121","Meat, chicken","2018","2018","tonnes","26","X","International reliable sources"
"SL","Livestock Primary","32","Cameroon","5510","Production","21121","Meat, chicken","2018","2018","tonnes","78807","Im","FAO data based on imputation methodology"
"SL","Livestock Primary","32","Cameroon","5610","Import Quantity","21121","Meat, chicken","2018","2018","tonnes","1352","*","Unofficial figure"
"SL","Livestock Primary","33","Canada","5510","Production","21121","Meat, chicken","2018","2018","tonnes","1296406","","Official data"
"SL","Livestock Primary","33","Canada","5610","Import Quantity","21121","Meat, chicken","2018","2018","tonnes","138100","","Official data"
"SL","Livestock Primary","33","Canada","5910","Export Quantity","21121","Meat, chicken","2018","2018","tonnes","88028","","Official data"
"SL","Livestock Primary","37","Central African Republic","5510","Production","21121","Meat, chicken","2018","2018","tonnes","6811","Im","FAO data based on imputation methodology"
"SL","Livestock Primary","37","Central African Republic","5610","Import Quantity","21121","Meat, chicken","2018","2018","tonnes","4526","*","Unofficial figure"
"SL","Livestock Primary","39","Chad","5510","Production","21121","Meat, chicken","2018","2018","tonnes","6454","Im","FAO data based on imputation methodology"
"SL","Livestock Primary","39","Chad","5610","Import Quantity","21121","Meat, chicken","2018","2018","tonnes","1114","*","Unofficial figure"
"SL","Livestock Primary","39","Chad","674","Protein supply quantity (g/capita/day)","21121","Meat, chicken","2018","2018","g/capita/day","0","Fc","Calculated data"
"SL","Livestock Primary","40","Chile","5510","Production","21121","Meat, chicken","2018","2018","tonnes","667243","","Official data"
"SL","Livestock Primary","40","Chile","5610","Import Quantity","21121","Meat, chicken","2018","2018","tonnes","138728","","Official data"
"SL","Livestock Primary","40","Chile","5910","Export Quantity","21121","Meat, chicken","2018","2018","tonnes","102272","","Official data"
"SL","Livestock Primary","40","Chile","674","Protein supply quantity (g/capita/day)","21121","Meat, chicken","2018","2018","g/capita/day","12","Fc","Calculated data"
"SL","Livestock Primary","96","China, Hong Kong SAR","5510","Production","21121","Meat, chicken","2018","2018","tonnes","24534","Im","FAO data based on imputation methodology"
"SL","Livestock Primary","96","China, Hong Kong SAR","5610","Import Quantity","21121","Meat, chicken","2018","2018","tonnes","672694","","Official data"
"SL","Livestock Primary","96","China, Hong Kong SAR","5910","Export Quantity","21121","Meat, chicken","2018","2018","tonnes","540490","","Official data"
"SL","Livestock Primary","96","China, Hong Kong SAR","674","Protein supply quantity (g/capita/day)","21121","Meat, chicken","2018","2018","g/capita/day","8","Fc","Calculated data"
"SL","Livestock Primary","128","China, Macao SAR","5510","Production","21121","Meat, chicken","2018","2018","tonnes","3837","Im","FAO data based on imputation methodology"
"SL","Livestock Primary","128","China, Macao SAR","5610","Import Quantity","21121","Meat, chicken","2018","2018","tonnes","20722","*","Unofficial figure"
"SL","Livestock Primary","128","China, Macao SAR","5910","Export Quantity","21121","Meat, chicken","2018","2018","tonnes","3","*","Unofficial figure"
"SL","Livestock Primary","128","China, Macao SAR","674","Protein supply quantity (g/capita/day)","21121","Meat, chicken","2018","2018","g/capita/day","9","Fc","Calculated data"
"SL","Livestock Primary","41","China, mainland","5510","Production","21121","Meat, chicken","2018","2018","tonnes","13957911","Im","FAO data based on imputation methodology"
"SL","Livestock Primary","41","China, mainland","5610","Import Quantity","21121","Meat, chicken","2018","2018","tonnes","502221","","Official data"
"SL","Livestock Primary","41","China, mainland","5910","Export Quantity","21121","Meat, chicken","2018","2018","tonnes","177285","","Official data"
"SL","Livestock Primary","41","China, mainland","674","Protein supply quantity (g/capita/day)","21121","Meat, chicken","2018","2018","g/capita/day","3","Fc","Calculated data"
"SL","Livestock Primary","214","China, Taiwan Province of","5510","Production","21121","Meat, chicken","2018","2018","tonnes","554000","*","Unofficial figure"
"SL","Livestock Primary","214","China, Taiwan Province of","5610","Import Quantity","21121","Meat, chicken","2018","2018","tonnes","214179","","Official data"
"SL","Livestock Primary","214","China, Taiwan Province of","5910","Export Quantity","21121","Meat, chicken","2018","2018","tonnes","4635","","Official data"
"SL","Livestock Primary","214","China, Taiwan Province of","674","Protein supply quantity (g/capita/day)","21121","Meat, chicken","2018","2018","g/capita/day","11","Fc","Calculated data"
"SL","Livestock Primary","44","Colombia","5510","Production","21121","Meat, chicken","2018","2018","tonnes","1629648","*","Unofficial figure"
"SL","Livestock Primary","44","Colombia","5610","Import Quantity","21121","Meat, chicken","2018","2018","tonnes","67773","","Official data"
"SL","Livestock Primary","44","Colombia","5910","Export Quantity","21121","Meat, chicken","2018","2018","tonnes","1734","","Official data"
"SL","Livestock Primary","44","Colombia","674","Protein supply quantity (g/capita/day)","21121","Meat, chicken","2018","2018","g/capita/day","10","Fc","Calculated data"
"SL","Livestock Primary","45","Comoros","5510","Production","21121","Meat, chicken","2018","2018","tonnes","601","Im","FAO data based on imputation methodology"
"SL","Livestock Primary","45","Comoros","5610","Import Quantity","21121","Meat, chicken","2018","2018","tonnes","14681","*","Unofficial figure"
"SL","Livestock Primary","46","Congo","5510","Production","21121","Meat, chicken","2018","2018","tonnes","7023","Im","FAO data based on imputation methodology"
"SL","Livestock Primary","46","Congo","5610","Import Quantity","21121","Meat, chicken","2018","2018","tonnes","114218","*","Unofficial figure"
"SL","Livestock Primary","46","Congo","5910","Export Quantity","21121","Meat, chicken","2018","2018","tonnes","132","*","Unofficial figure"
"SL","Livestock Primary","48","Costa Rica","5510","Production","21121","Meat, chicken","2018","2018","tonnes","135500","","Official data"
"SL","Livestock Primary","48","Costa Rica","5610","Import Quantity","21121","Meat, chicken","2018","2018","tonnes","10336","","Official data"
"SL","Livestock Primary","48","Costa Rica","5910","Export Quantity","21121","Meat, chicken","2018","2018","tonnes","870","","Official data"
"SL","Livestock Primary","48","Costa Rica","674","Protein supply quantity (g/capita/day)","21121","Meat, chicken","2018","2018","g/capita/day","8","Fc","Calculated data"
"SL","Livestock Primary","107","Côte d'Ivoire","5510","Production","21121","Meat, chicken","2018","2018","tonnes","44199","Im","FAO data based on imputation methodology"
"SL","Livestock Primary","107","Côte d'Ivoire","5610","Import Quantity","21121","Meat, chicken","2018","2018","tonnes","547","","Official data"
"SL","Livestock Primary","107","Côte d'Ivoire","5910","Export Quantity","21121","Meat, chicken","2018","2018","tonnes","36","","Official data"
"SL","Livestock Primary","98","Croatia","5510","Production","21121","Meat, chicken","2018","2018","tonnes","52600","","Official data"
"SL","Livestock Primary","98","Croatia","5610","Import Quantity","21121","Meat, chicken","2018","2018","tonnes","14062","","Official data"
"SL","Livestock Primary","98","Croatia","5910","Export Quantity","21121","Meat, chicken","2018","2018","tonnes","6876","","Official data"
"SL","Livestock Primary","98","Croatia","674","Protein supply quantity (g/capita/day)","21121","Meat, chicken","2018","2018","g/capita/day","2","Fc","Calculated data"
"SL","Livestock Primary","49","Cuba","5510","Production","21121","Meat, chicken","2018","2018","tonnes","25326","Im","FAO data based on imputation methodology"
"SL","Livestock Primary","49","Cuba","5610","Import Quantity","21121","Meat, chicken","2018","2018","tonnes","279486","","Official data"
"SL","Livestock Primary","49","Cuba","5910","Export Quantity","21121","Meat, chicken","2018","2018","tonnes","25","X","International reliable sources"
"SL","Livestock Primary","49","Cuba","674","Protein supply quantity (g/capita/day)","21121","Meat, chicken","2018","2018","g/capita/day","8","Fc","Calculated data"
"SL","Livestock Primary","50","Cyprus","5510","Production","21121","Meat, chicken","2018","2018","tonnes","25410","","Official data"
"SL","Livestock Primary","50","Cyprus","5610","Import Quantity","21121","Meat, chicken","2018","2018","tonnes","10050","","Official data"
"SL","Livestock Primary","50","Cyprus","5910","Export Quantity","21121","Meat, chicken","2018","2018","tonnes","1027","","Official data"
"SL","Livestock Primary","167","Czechia","5510","Production","21121","Meat, chicken","2018","2018","tonnes","155236","","Official data"
"SL","Livestock Primary","167","Czechia","5610","Import Quantity","21121","Meat, chicken","2018","2018","tonnes","82586","","Official data"
"SL","Livestock Primary","167","Czechia","5910","Export Quantity","21121","Meat, chicken","2018","2018","tonnes","17118","","Official data"
"SL","Livestock Primary","116","Democratic People's Republic of Korea","5510","Production","21121","Meat, chicken","2018","2018","tonnes","31859","Im","FAO data based on imputation methodology"
"SL","Livestock Primary","116","Democratic People's Republic of Korea","5610","Import Quantity","21121","Meat, chicken","2018","2018","tonnes","56","*","Unofficial figure"
"SL","Livestock Primary","116","Democratic People's Republic of Korea","674","Protein supply quantity (g/capita/day)","21121","Meat, chicken","2018","2018","g/capita/day","0","Fc","Calculated data"
"SL","Livestock Primary","54","Denmark","5510","Production","21121","Meat, chicken","2018","2018","tonnes","156343","","Official data"
"SL","Livestock Primary","54","Denmark","5610","Import Quantity","21121","Meat, chicken","2018","2018","tonnes","37826","","Official data"
"SL","Livestock Primary","54","Denmark","5910","Export Quantity","21121","Meat, chicken","2018","2018","tonnes","71740","","Official data"
"SL","Livestock Primary","72","Djibouti","5610","Import Quantity","21121","Meat, chicken","2018","2018","tonnes","3111","*","Unofficial figure"
"SL","Livestock Primary","55","Dominica","5510","Production","21121","Meat, chicken","2018","2018","tonnes","357","Im","FAO data based on imputation methodology"
"SL","Livestock Primary","55","Dominica","5610","Import Quantity","21121","Meat, chicken","2018","2018","tonnes","3916","*","Unofficial figure"
"SL","Livestock Primary","55","Dominica","674","Protein supply quantity (g/capita/day)","21121","Meat, chicken","2018","2018","g/capita/day","13","Fc","Calculated data"
"SL","Livestock Primary","56","Dominican Republic","5510","Production","21121","Meat, chicken","2018","2018","tonnes","349158","","Official data"
"SL","Livestock Primary","56","Dominican Republic","5610","Import Quantity","21121","Meat, chicken","2018","2018","tonnes","32657","*","Unofficial figure"
"SL","Livestock Primary","56","Dominican Republic","5910","Export Quantity","21121","Meat, chicken","2018","2018","tonnes","5949","","Official data"
"SL","Livestock Primary","56","Dominican Republic","674","Protein supply quantity (g/capita/day)","21121","Meat, chicken","2018","2018","g/capita/day","10","Fc","Calculated data"
"SL","Livestock Primary","58","Ecuador","5510","Production","21121","Meat, chicken","2018","2018","tonnes","347892","Im","FAO data based on imputation methodology"
"SL","Livestock Primary","58","Ecuador","674","Protein supply quantity (g/capita/day)","21121","Meat, chicken","2018","2018","g/capita/day","6","Fc","Calculated data"
"SL","Livestock Primary","59","Egypt","5510","Production","21121","Meat, chicken","2018","2018","tonnes","1324327","","Official data"
"SL","Livestock Primary","59","Egypt","5610","Import Quantity","21121","Meat, chicken","2018","2018","tonnes","44238","Im","FAO data based on imputation methodology"
"SL","Livestock Primary","59","Egypt","5910","Export Quantity","21121","Meat, chicken","2018","2018","tonnes","323","Im","FAO data based on imputation methodology"
"SL","Livestock Primary","59","Egypt","674","Protein supply quantity (g/capita/day)","21121","Meat, chicken","2018","2018","g/capita/day","6","Fc","Calculated data"
"SL","Livestock Primary","60","El Salvador","5510","Production","21121","Meat, chicken","2018","2018","tonnes","137375","Im","FAO data based on imputation methodology"
"SL","Livestock Primary","60","El Salvador","5610","Import Quantity","21121","Meat, chicken","2018","2018","tonnes","13078","","Official data"
"SL","Livestock Primary","60","El Salvador","5910","Export Quantity","21121","Meat, chicken","2018","2018","tonnes","1317","","Official data"
"SL","Livestock Primary","60","El Salvador","674","Protein supply quantity (g/capita/day)","21121","Meat, chicken","2018","2018","g/capita/day","7","Fc","Calculated data"
"SL","Livestock Primary","63","Estonia","5510","Production","21121","Meat, chicken","2018","2018","tonnes","19300","","Official data"
"SL","Livestock Primary","63","Estonia","5610","Import Quantity","21121","Meat, chicken","2018","2018","tonnes","22010","","Official data"
"SL","Livestock Primary","63","Estonia","5910","Export Quantity","21121","Meat, chicken","2018","2018","tonnes","6156","","Official data"
"SL","Livestock Primary","209","Eswatini","5510","Production","21121","Meat, chicken","2018","2018","tonnes","6048","Im","FAO data based on imputation methodology"
"SL","Livestock Primary","209","Eswatini","5610","Import Quantity","21121","Meat, chicken","2018","2018","tonnes","1488","*","Unofficial figure"
"SL","Livestock Primary","209","Eswatini","5910","Export Quantity","21121","Meat, chicken","2018","2018","tonnes","563","*","Unofficial figure"
"SL","Livestock Primary","238","Ethiopia","5510","Production","21121","Meat, chicken","2018","2018","tonnes","73931","Im","FAO data based on imputation methodology"
"SL","Livestock Primary","238","Ethiopia","5610","Import Quantity","21121","Meat, chicken","2018","2018","tonnes","1038","*","Unofficial figure"
"SL","Livestock Primary","66","Fiji","5510","Production","21121","Meat, chicken","2018","2018","tonnes","35499","","Official data"
"SL","Livestock Primary","66","Fiji","5610","Import Quantity","21121","Meat, chicken","2018","2018","tonnes","4126","","Official data"
"SL","Livestock Primary","66","Fiji","5910","Export Quantity","21121","Meat, chicken","2018","2018","tonnes","302","","Official data"
"SL","Livestock Primary","66","Fiji","674","Protein supply quantity (g/capita/day)","21121","Meat, chicken","2018","2018","g/capita/day","8","Fc","Calculated data"
"SL","Livestock Primary","67","Finland","5510","Production","21121","Meat, chicken","2018","2018","tonnes","127156","","Official data"
"SL","Livestock Primary","67","Finland","5610","Import Quantity","21121","Meat, chicken","2018","2018","tonnes","5155","","Official data"
"SL","Livestock Primary","67","Finland","5910","Export Quantity","21121","Meat, chicken","2018","2018","tonnes","10264","","Official data"
"SL","Livestock Primary","67","Finland","674","Protein supply quantity (g/capita/day)","21121","Meat, chicken","2018","2018","g/capita/day","7","Fc","Calculated data"
"SL","Livestock Primary","68","France","5510","Production","21121","Meat, chicken","2018","2018","tonnes","1169945","","Official data"
"SL","Livestock Primary","68","France","5610","Import Quantity","21121","Meat, chicken","2018","2018","tonnes","383588","","Official data"
"SL","Livestock Primary","68","France","5910","Export Quantity","21121","Meat, chicken","2018","2018","tonnes","280923","","Official data"
"SL","Livestock Primary","70","French Polynesia","5510","Production","21121","Meat, chicken","2018","2018","tonnes","694","Im","FAO data based on imputation methodology"
"SL","Livestock Primary","70","French Polynesia","5610","Import Quantity","21121","Meat, chicken","2018","2018","tonnes","15293","*","Unofficial figure"
"SL","Livestock Primary","74","Gabon","5510","Production","21121","Meat, chicken","2018","2018","tonnes","3911","Im","FAO data based on imputation methodology"
"SL","Livestock Primary","74","Gabon","5610","Import Quantity","21121","Meat, chicken","2018","2018","tonnes","64907","*","Unofficial figure"
"SL","Livestock Primary","75","Gambia","5510","Production","21121","Meat, chicken","2018","2018","tonnes","1632","Im","FAO data based on imputation methodology"
"SL","Livestock Primary","75","Gambia","5610","Import Quantity","21121","Meat, chicken","2018","2018","tonnes","20834","","Official data"
"SL","Livestock Primary","73","Georgia","5510","Production","21121","Meat, chicken","2018","2018","tonnes","22100","","Official data"
"SL","Livestock Primary","73","Georgia","5610","Import Quantity","21121","Meat, chicken","2018","2018","tonnes","48529","","Official data"
"SL","Livestock Primary","73","Georgia","5910","Export Quantity","21121","Meat, chicken","2018","2018","tonnes","8311","","Official data"
"SL","Livestock Primary","79","Germany","5510","Production","21121","Meat, chicken","2018","2018","tonnes","1063251","","Official data"
"SL","Livestock Primary","79","Germany","5610","Import Quantity","21121","Meat, chicken","2018","2018","tonnes","496552","","Official data"
"SL","Livestock Primary","79","Germany","5910","Export Quantity","21121","Meat, chicken","2018","2018","tonnes","290396","","Official data"
"SL","Livestock Primary","81","Ghana","5510","Production","21121","Meat, chicken","2018","2018","tonnes","65078","Im","FAO data based on imputation methodology"
"SL","Livestock Primary","81","Ghana","5610","Import Quantity","21121","Meat, chicken","2018","2018","tonnes","201813","","Official data"
"SL","Livestock Primary","81","Ghana","5910","Export Quantity","21121","Meat, chicken","2018","2018","tonnes","27","","Official data"
"SL","Livestock Primary","84","Greece","5510","Production","21121","Meat, chicken","2018","2018","tonnes","244339","","Official data"
"SL","Livestock Primary","84","Greece","5610","Import Quantity","21121","Meat, chicken","2018","2018","tonnes","55728","","Official data"
"SL","Livestock Primary","84","Greece","5910","Export Quantity","21121","Meat, chicken","2018","2018","tonnes","28134","","Official data"
"SL","Livestock Primary","86","Grenada","5510","Production","21121","Meat, chicken","2018","2018","tonnes","540","Im","FAO data based on imputation methodology"
"SL","Livestock Primary","86","Grenada","5610","Import Quantity","21121","Meat, chicken","2018","2018","tonnes","6101","*","Unofficial figure"
"SL","Livestock Primary","86","Grenada","674","Protein supply quantity (g/capita/day)","21121","Meat, chicken","2018","2018","g/capita/day","12","Fc","Calculated data"
"SL","Livestock Primary","89","Guatemala","5510","Production","21121","Meat, chicken","2018","2018","tonnes","226742","Im","FAO data based on imputation methodology"
