Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","New Food Balances","20","Botswana","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2018","2018","g/capita/day","28.02","Fc","Calculated data"
"FBS","New Food Balances","21","Brazil","664","Food supply (kcal/capita/day)","2901","Grand Total","2018","2018","kcal/capita/day","3301","Fc","Calculated data"
"FBS","New Food Balances","21","Brazil","674","Protein supply quantity (g/capita/day)","2901","Grand Total","2018","2018","g/capita/day","95.68","Fc","Calculated data"
"FBS","New Food Balances","21","Brazil","664","Food supply (kcal/capita/day)","2941","Animal Products","2018","2018","kcal/capita/day","860","Fc","Calculated data"
"FBS","New Food Balances","21","Brazil","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2018","2018","g/capita/day","53.77","Fc","Calculated data"
"FBS","New Food Balances","27","Bulgaria","664","Food supply (kcal/capita/day)","2901","Grand Total","2018","2018","kcal/capita/day","2854","Fc","Calculated data"
"FBS","New Food Balances","27","Bulgaria","674","Protein supply quantity (g/capita/day)","2901","Grand Total","2018","2018","g/capita/day","83.26","Fc","Calculated data"
"FBS","New Food Balances","27","Bulgaria","664","Food supply (kcal/capita/day)","2941","Animal Products","2018","2018","kcal/capita/day","703","Fc","Calculated data"
"FBS","New Food Balances","27","Bulgaria","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2018","2018","g/capita/day","41.96","Fc","Calculated data"
"FBS","New Food Balances","233","Burkina Faso","664","Food supply (kcal/capita/day)","2901","Grand Total","2018","2018","kcal/capita/day","2737","Fc","Calculated data"
"FBS","New Food Balances","233","Burkina Faso","674","Protein supply quantity (g/capita/day)","2901","Grand Total","2018","2018","g/capita/day","80.16","Fc","Calculated data"
"FBS","New Food Balances","233","Burkina Faso","664","Food supply (kcal/capita/day)","2941","Animal Products","2018","2018","kcal/capita/day","159","Fc","Calculated data"
"FBS","New Food Balances","233","Burkina Faso","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2018","2018","g/capita/day","11.41","Fc","Calculated data"
"FBS","New Food Balances","35","Cabo Verde","664","Food supply (kcal/capita/day)","2901","Grand Total","2018","2018","kcal/capita/day","2541","Fc","Calculated data"
"FBS","New Food Balances","35","Cabo Verde","674","Protein supply quantity (g/capita/day)","2901","Grand Total","2018","2018","g/capita/day","70.86","Fc","Calculated data"
